wells,He,He_err,Ne,Ne_err,Ar,Ar_err,Kr,Kr_err,Xe,Xe_err
PLM1,7.283170794006045e-08,3.6415853970030227e-09,2.639113122502211e-07,1.3195565612511054e-08,0.0004183421247054712,2.0917106235273562e-05,1.1173097836531264e-07,5.586548918265633e-09,1.4629178894889012e-08,1.7701306462815704e-09
PLM7,8.262071112456359e-08,4.131035556228179e-09,2.0669229562170087e-07,1.0334614781085042e-08,0.00041370930276914716,2.068546513845736e-05,1.0800615654808832e-07,5.400307827404415e-09,1.4762750705455954e-08,1.7862928353601703e-09
PLM6,1.4808339948118884e-07,7.404169974059442e-09,1.7665456732777786e-07,8.832728366388892e-09,0.0003250043677038323,1.6250218385191612e-05,8.256670703629246e-08,4.1283353518146225e-09,9.923660740205308e-09,1.2007629495648422e-09
