Date,CFC11,CFC12,CFC113,SF6,H3
1854-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1855-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1856-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1857-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1858-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1859-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1860-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1861-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1862-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1863-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1864-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1865-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1866-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1867-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1868-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1869-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1870-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1871-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1872-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1873-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1874-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1875-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1876-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1877-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1878-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1879-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1880-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1881-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1882-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1883-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1884-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1885-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1886-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1887-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1888-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1889-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1890-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1891-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1892-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1893-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1894-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1895-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1896-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1897-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1898-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1899-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1900-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1901-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1902-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1903-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1904-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1905-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1906-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1907-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1908-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1909-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1910-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1911-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1912-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1913-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1914-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1915-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1916-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1917-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1918-12-31,0.0,0.0,0.0,0.0,3.327329892219456
