,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,median
m,-150.022746,16.742572,-180.980074,-118.012018,0.196779,0.139149,7239.283387,11927.198038,1.000595,-150.03885014832628
Ae_beta,0.923339,0.045061,0.843766,0.996543,0.000605,0.000428,5204.220096,5803.258942,1.002029,0.9307381898025762
F_beta,0.427641,0.006484,0.415594,0.439319,8.7e-05,6.2e-05,6467.215578,6245.106488,1.001501,0.42825786565892926
E_beta,0.408056,0.16713,0.085924,0.704761,0.002091,0.001479,6245.632472,8430.312437,1.000774,0.40983242137103226
Ae,0.061553,0.017094,0.031247,0.092803,0.000227,0.000163,5204.220096,5803.258942,1.002029,0.061974719442519824
F,0.716925,0.021163,0.677124,0.755382,0.000282,0.000199,6467.215578,6245.106488,1.001501,0.7186471892491013
E,2987.779401,88.152615,2817.870876,3144.276277,1.102928,0.779923,6245.632472,8430.312437,1.000774,2988.7161395703624
b_beta,0.212662,0.123882,0.013007,0.435529,0.00149,0.001054,6119.446198,6898.91226,1.000839,0.19261594857791473
b,3144.243195,90.433854,2998.494881,3306.936274,1.087838,0.76925,6119.446198,6898.91226,1.000839,3129.6096424618777
T,1.043915,0.685591,0.000147,2.221581,0.008351,0.005905,7095.344581,12403.432888,1.000458,0.9486962126381446
nu_,0.935015,0.154894,0.629362,1.0,0.001316,0.000958,6401.957008,7777.594001,1.000333,0.9993450719448882
nu,28.11543,4.491914,19.251494,30.0,0.03817,0.027749,6401.957008,7777.594001,1.000333,29.981007086401757
