,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,median
m,-142.204137,16.063124,-173.744389,-113.573974,0.259673,0.18363,3825.569174,6656.096525,1.001363,-142.18763121176784
Ae_beta,0.480356,0.084165,0.359475,0.650865,0.00281,0.002119,1220.378041,768.962483,1.006241,0.4580687522353215
F_beta,0.284204,0.109488,0.090829,0.456136,0.003131,0.002214,953.648365,940.590276,1.007452,0.29815438702862485
E_beta,0.278399,0.159835,0.021586,0.57021,0.002308,0.001632,4484.782144,6229.440342,1.00076,0.2545761914157708
Ae,0.003422,0.003159,0.000973,0.008287,0.000134,0.000105,1220.378041,768.962483,1.006241,0.0023670435954865256
F,0.415882,0.188175,0.120936,0.749289,0.005303,0.003959,953.648365,940.590276,1.007452,0.3947378524733619
E,2902.808955,87.978003,2761.451194,3063.430688,1.270162,0.898195,4484.782144,6229.440342,1.00076,2889.6962418463927
b_beta,0.632486,0.135044,0.379117,0.880436,0.001967,0.001409,4640.298163,5966.954714,1.000704,0.6362501823452518
b,3450.714776,98.582202,3265.755195,3631.717937,1.436084,1.017605,4640.298163,5966.954714,1.000704,3453.462633112034
T,3.87182,0.747576,2.439246,5.230329,0.011853,0.008432,3989.404656,7201.71598,1.001466,3.865102355870888
nu_,0.951413,0.121281,0.727587,1.0,0.001272,0.000942,4319.528093,5736.873329,1.001019,0.9995850077951485
nu,28.590981,3.517149,22.100021,30.0,0.03688,0.027272,4319.528093,5736.873329,1.001019,29.987965226059305
