yr,mon,avg_ppt,sd,N,date
2001.0,5.0,83.83,0.32,621.0,2001.4166666666667
2001.0,6.0,83.89,0.29,589.0,2001.5
2001.0,7.0,83.88,0.28,714.0,2001.5833333333333
2001.0,8.0,83.9,0.31,707.0,2001.6666666666667
2001.0,9.0,83.85,0.33,681.0,2001.75
2001.0,10.0,83.75,0.49,714.0,2001.8333333333333
2001.0,11.0,83.63,0.45,700.0,2001.9166666666667
2001.0,12.0,83.57,0.53,619.0,2002.0
2002.0,1.0,83.5,0.67,515.0,2002.0833333333333
2002.0,2.0,83.5,1.01,519.0,2002.1666666666667
2002.0,3.0,83.4,0.7,649.0,2002.25
2002.0,4.0,83.37,0.63,676.0,2002.3333333333333
2002.0,5.0,83.2,0.59,683.0,2002.4166666666667
2002.0,6.0,82.97,0.34,303.0,2002.5
2002.0,7.0,83.13,0.26,463.0,2002.5833333333333
2002.0,8.0,83.0,0.24,686.0,2002.6666666666667
2002.0,9.0,83.02,0.24,715.0,2002.75
2002.0,10.0,82.78,0.29,723.0,2002.8333333333333
2002.0,11.0,82.54,0.34,697.0,2002.9166666666667
2002.0,12.0,82.65,0.37,713.0,2003.0
2003.0,1.0,82.65,0.32,626.0,2003.0833333333333
2003.0,2.0,82.74,0.3,503.0,2003.1666666666667
2003.0,3.0,82.62,0.34,460.0,2003.25
2003.0,4.0,82.49,0.34,666.0,2003.3333333333333
2003.0,5.0,82.32,0.3,621.0,2003.4166666666667
2003.0,6.0,81.7,0.23,315.0,2003.5
2003.0,7.0,81.47,0.25,456.0,2003.5833333333333
2003.0,8.0,81.93,0.31,661.0,2003.6666666666667
2003.0,9.0,82.22,0.35,667.0,2003.75
2003.0,10.0,81.81,0.43,700.0,2003.8333333333333
2003.0,11.0,81.67,0.58,711.0,2003.9166666666667
2003.0,12.0,82.28,0.61,729.0,2004.0
2004.0,1.0,82.15,0.53,692.0,2004.0833333333333
2004.0,2.0,82.11,0.66,661.0,2004.1666666666667
2004.0,3.0,81.98,0.57,677.0,2004.25
2004.0,4.0,82.03,0.41,712.0,2004.3333333333333
2004.0,5.0,81.62,0.41,672.0,2004.4166666666667
2004.0,6.0,81.6,0.58,198.0,2004.5
2004.0,7.0,80.73,0.52,293.0,2004.5833333333333
2004.0,8.0,81.04,0.48,726.0,2004.6666666666667
2004.0,9.0,81.05,0.6,644.0,2004.75
2004.0,10.0,81.05,0.5,582.0,2004.8333333333333
2004.0,11.0,80.92,0.31,696.0,2004.9166666666667
2004.0,12.0,80.58,0.34,705.0,2005.0
2005.0,1.0,81.0,0.42,646.0,2005.0833333333333
2005.0,2.0,81.06,0.5,616.0,2005.1666666666667
2005.0,3.0,81.09,0.44,668.0,2005.25
2005.0,4.0,81.04,0.36,682.0,2005.3333333333333
2005.0,5.0,80.82,0.35,668.0,2005.4166666666667
2005.0,6.0,80.63,0.34,157.0,2005.5
2005.0,7.0,80.42,0.31,570.0,2005.5833333333333
2005.0,8.0,80.51,0.31,727.0,2005.6666666666667
2005.0,9.0,80.37,0.4,534.0,2005.75
2005.0,10.0,80.01,1.11,449.0,2005.8333333333333
2005.0,11.0,80.1,1.03,492.0,2005.9166666666667
2005.0,12.0,79.97,0.75,584.0,2006.0
2006.0,1.0,79.86,0.49,663.0,2006.0833333333333
2006.0,2.0,80.26,0.5,570.0,2006.1666666666667
2006.0,3.0,80.12,0.84,608.0,2006.25
2006.0,4.0,80.14,0.6,581.0,2006.3333333333333
2006.0,5.0,80.16,0.39,555.0,2006.4166666666667
2006.0,6.0,79.83,0.42,654.0,2006.5
2006.0,7.0,79.28,1.09,122.0,2006.5833333333333
2007.0,11.0,78.66,0.27,441.0,2007.9166666666667
2007.0,12.0,78.32,0.27,222.0,2008.0
2008.0,1.0,78.49,0.27,641.0,2008.0833333333333
2008.0,2.0,78.42,0.27,685.0,2008.1666666666667
2008.0,3.0,78.14,0.24,700.0,2008.25
2008.0,4.0,78.14,0.2,702.0,2008.3333333333333
2008.0,5.0,78.12,0.17,702.0,2008.4166666666667
2008.0,6.0,78.05,0.18,700.0,2008.5
2008.0,7.0,77.91,0.17,701.0,2008.5833333333333
2008.0,8.0,77.98,0.17,678.0,2008.6666666666667
2008.0,9.0,77.65,0.17,715.0,2008.75
2008.0,10.0,77.79,0.19,728.0,2008.8333333333333
2008.0,11.0,78.16,0.21,663.0,2008.9166666666667
2008.0,12.0,78.01,0.26,724.0,2009.0
2009.0,1.0,78.16,0.22,739.0,2009.0833333333333
2009.0,2.0,78.1,0.22,650.0,2009.1666666666667
2009.0,3.0,78.13,0.19,732.0,2009.25
2009.0,4.0,78.02,0.18,669.0,2009.3333333333333
2009.0,5.0,77.85,0.17,732.0,2009.4166666666667
2009.0,6.0,77.74,0.17,698.0,2009.5
2009.0,7.0,77.58,0.2,714.0,2009.5833333333333
2009.0,8.0,77.49,0.18,727.0,2009.6666666666667
2009.0,9.0,77.46,0.19,656.0,2009.75
2009.0,12.0,76.51,0.25,330.0,2010.0
2010.0,1.0,76.57,0.24,651.0,2010.0833333333333
2010.0,2.0,76.81,0.25,387.0,2010.1666666666667
2010.0,3.0,76.63,0.22,660.0,2010.25
2010.0,4.0,76.53,0.19,698.0,2010.3333333333333
2010.0,5.0,76.49,0.19,721.0,2010.4166666666667
2010.0,6.0,76.32,0.17,712.0,2010.5
2010.0,7.0,76.18,0.16,694.0,2010.5833333333333
2010.0,8.0,76.23,0.15,719.0,2010.6666666666667
2010.0,9.0,76.33,0.2,684.0,2010.75
2010.0,10.0,76.36,0.18,717.0,2010.8333333333333
2010.0,11.0,76.28,0.21,686.0,2010.9166666666667
2010.0,12.0,76.38,0.18,678.0,2011.0
2011.0,1.0,76.47,0.26,667.0,2011.0833333333333
2011.0,2.0,76.5,0.25,650.0,2011.1666666666667
2011.0,3.0,76.51,0.19,546.0,2011.25
2011.0,4.0,76.52,0.17,680.0,2011.3333333333333
2011.0,5.0,76.39,0.16,364.0,2011.4166666666667
2011.0,6.0,75.96,0.14,285.0,2011.5
2011.0,7.0,75.77,0.16,353.0,2011.5833333333333
2011.0,8.0,75.91,0.16,662.0,2011.6666666666667
2011.0,9.0,75.95,0.16,699.0,2011.75
2011.0,10.0,76.02,0.2,711.0,2011.8333333333333
2011.0,11.0,75.94,0.23,579.0,2011.9166666666667
2011.0,12.0,76.21,0.23,635.0,2012.0
2012.0,1.0,76.27,0.24,349.0,2012.0833333333333
2012.0,3.0,76.31,0.2,309.0,2012.25
2012.0,4.0,76.29,0.18,707.0,2012.3333333333333
2012.0,5.0,76.07,0.16,650.0,2012.4166666666667
2012.0,6.0,75.77,0.16,650.0,2012.5
2012.0,7.0,75.55,0.17,523.0,2012.5833333333333
2012.0,8.0,75.53,0.15,556.0,2012.6666666666667
2012.0,9.0,75.43,0.16,682.0,2012.75
2012.0,10.0,75.27,0.26,500.0,2012.8333333333333
2012.0,11.0,75.4,0.2,478.0,2012.9166666666667
2012.0,12.0,75.31,0.3,397.0,2013.0
2013.0,1.0,75.26,0.26,654.0,2013.0833333333333
2013.0,2.0,75.26,0.25,538.0,2013.1666666666667
2013.0,5.0,74.47,0.15,149.0,2013.4166666666667
2013.0,6.0,74.46,0.13,720.0,2013.5
2013.0,7.0,74.37,0.14,624.0,2013.5833333333333
2013.0,8.0,74.3,0.13,745.0,2013.6666666666667
2013.0,9.0,74.28,0.23,687.0,2013.75
2013.0,10.0,74.16,0.35,722.0,2013.8333333333333
2013.0,11.0,74.22,0.25,710.0,2013.9166666666667
2013.0,12.0,74.24,0.31,286.0,2014.0
2014.0,1.0,74.14,0.3,370.0,2014.0833333333333
2014.0,2.0,74.05,0.23,415.0,2014.1666666666667
2014.0,3.0,74.05,0.2,349.0,2014.25
2014.0,4.0,74.05,0.18,579.0,2014.3333333333333
2014.0,5.0,74.02,0.15,723.0,2014.4166666666667
2014.0,6.0,73.91,0.12,677.0,2014.5
2014.0,7.0,73.84,0.11,744.0,2014.5833333333333
2014.0,8.0,73.76,0.11,745.0,2014.6666666666667
2014.0,9.0,73.71,0.09,349.0,2014.75
2014.0,10.0,73.58,0.18,729.0,2014.8333333333333
2014.0,11.0,73.57,0.14,695.0,2014.9166666666667
2014.0,12.0,73.53,0.16,742.0,2015.0
2015.0,1.0,73.44,0.17,595.0,2015.0833333333333
2015.0,2.0,73.56,0.16,623.0,2015.1666666666667
2015.0,3.0,73.33,0.12,698.0,2015.25
2015.0,4.0,73.33,0.11,681.0,2015.3333333333333
2015.0,5.0,73.26,0.09,515.0,2015.4166666666667
2015.0,6.0,73.44,0.13,526.0,2015.5
2015.0,9.0,73.17,0.26,425.0,2015.75
2015.0,10.0,73.22,0.17,684.0,2015.8333333333333
2015.0,11.0,73.36,0.26,395.0,2015.9166666666667
2016.0,3.0,73.19,0.21,579.0,2016.25
