yr,mon,avg_ppt,sd,N,date
2016.0,4.0,73.01,0.18,341.0,2016.3333333333333
2016.0,6.0,72.64,0.08,203.0,2016.5
2016.0,8.0,72.61,0.13,487.0,2016.6666666666667
2016.0,9.0,72.71,0.19,626.0,2016.75
2016.0,10.0,72.77,0.23,678.0,2016.8333333333333
2016.0,11.0,73.1,0.32,599.0,2016.9166666666667
2016.0,12.0,73.21,0.14,692.0,2017.0
2017.0,1.0,73.23,0.13,664.0,2017.0833333333333
2017.0,2.0,73.12,0.17,544.0,2017.1666666666667
2017.0,3.0,73.18,0.2,466.0,2017.25
2017.0,4.0,73.39,0.18,359.0,2017.3333333333333
2017.0,5.0,73.35,0.15,358.0,2017.4166666666667
2017.0,6.0,73.26,0.13,337.0,2017.5
2017.0,7.0,73.16,0.1,182.0,2017.5833333333333
2017.0,10.0,73.03,0.12,146.0,2017.8333333333333
2017.0,11.0,72.79,0.16,707.0,2017.9166666666667
2017.0,12.0,72.86,0.14,693.0,2018.0
2018.0,1.0,72.85,0.14,736.0,2018.0833333333333
2018.0,2.0,72.78,0.13,655.0,2018.1666666666667
2018.0,3.0,72.66,0.18,720.0,2018.25
2018.0,4.0,72.56,0.17,713.0,2018.3333333333333
2018.0,5.0,72.34,0.15,709.0,2018.4166666666667
2018.0,6.0,72.1,0.12,681.0,2018.5
2018.0,7.0,71.82,0.16,365.0,2018.5833333333333
2018.0,8.0,71.85,0.17,679.0,2018.6666666666667
2018.0,9.0,71.66,0.15,509.0,2018.75
2018.0,10.0,71.67,0.35,109.0,2018.8333333333333
2018.0,11.0,71.68,0.24,179.0,2018.9166666666667
2018.0,12.0,71.58,0.24,87.0,2019.0
