yr,mon,avg_ppt,sd,N,date
1990.0,2.0,261.88,3.265,247.0,1990.1666666666667
1990.0,3.0,265.588,7.047,79.0,1990.25
1990.0,4.0,261.697,2.569,212.0,1990.3333333333333
1990.0,5.0,262.378,4.306,254.0,1990.4166666666667
1990.0,6.0,261.514,4.95,328.0,1990.5
1990.0,7.0,260.919,5.266,423.0,1990.5833333333333
1990.0,8.0,261.71,11.18,304.0,1990.6666666666667
1990.0,9.0,262.135,5.795,378.0,1990.75
1990.0,10.0,264.733,3.17,366.0,1990.8333333333333
1990.0,11.0,265.15,3.382,304.0,1990.9166666666667
1990.0,12.0,266.198,4.601,315.0,1991.0
1991.0,1.0,265.093,3.393,503.0,1991.0833333333333
1991.0,2.0,264.937,1.673,312.0,1991.1666666666667
1991.0,3.0,265.898,1.998,438.0,1991.25
1991.0,4.0,266.141,3.5,639.0,1991.3333333333333
1991.0,5.0,265.639,3.979,551.0,1991.4166666666667
1991.0,6.0,264.356,3.912,492.0,1991.5
1991.0,7.0,264.388,2.631,355.0,1991.5833333333333
1991.0,8.0,264.293,3.279,403.0,1991.6666666666667
1991.0,9.0,265.043,2.522,124.0,1991.75
1991.0,10.0,266.733,2.52,251.0,1991.8333333333333
1991.0,11.0,267.605,2.776,479.0,1991.9166666666667
1991.0,12.0,267.206,3.621,205.0,1992.0
1992.0,1.0,266.674,3.106,475.0,1992.0833333333333
1992.0,2.0,267.001,2.587,357.0,1992.1666666666667
1992.0,3.0,267.43,3.344,292.0,1992.25
1992.0,4.0,267.551,2.266,472.0,1992.3333333333333
1992.0,5.0,268.27,2.862,666.0,1992.4166666666667
1992.0,6.0,269.035,4.702,476.0,1992.5
1992.0,7.0,268.406,3.748,295.0,1992.5833333333333
1992.0,8.0,269.127,3.513,713.0,1992.6666666666667
1992.0,9.0,269.859,8.269,313.0,1992.75
1992.0,10.0,270.873,8.96,475.0,1992.8333333333333
1992.0,11.0,270.071,4.415,189.0,1992.9166666666667
1992.0,12.0,269.679,2.231,359.0,1993.0
1993.0,1.0,269.103,1.569,399.0,1993.0833333333333
1993.0,2.0,269.623,1.799,578.0,1993.1666666666667
1993.0,3.0,269.486,2.32,710.0,1993.25
1993.0,4.0,270.069,2.415,523.0,1993.3333333333333
1993.0,5.0,269.581,2.256,710.0,1993.4166666666667
1993.0,6.0,269.666,3.022,478.0,1993.5
1993.0,7.0,269.63,2.748,628.0,1993.5833333333333
1993.0,8.0,269.611,1.946,602.0,1993.6666666666667
1993.0,9.0,269.925,3.327,391.0,1993.75
1993.0,10.0,269.61,2.132,157.0,1993.8333333333333
1993.0,11.0,270.899,2.711,226.0,1993.9166666666667
1993.0,12.0,270.099,4.341,523.0,1994.0
1994.0,1.0,270.108,5.065,583.0,1994.0833333333333
1994.0,2.0,270.048,6.535,240.0,1994.1666666666667
1994.0,3.0,269.497,1.92,476.0,1994.25
1994.0,4.0,269.566,1.915,605.0,1994.3333333333333
1994.0,5.0,269.142,1.951,334.0,1994.4166666666667
1994.0,6.0,269.24,2.538,552.0,1994.5
1994.0,7.0,269.447,2.546,457.0,1994.5833333333333
1994.0,8.0,270.808,2.127,426.0,1994.6666666666667
1994.0,9.0,269.443,1.341,526.0,1994.75
1994.0,10.0,270.0,1.837,454.0,1994.8333333333333
1994.0,11.0,270.15,1.613,520.0,1994.9166666666667
1994.0,12.0,269.863,1.845,503.0,1995.0
1995.0,1.0,269.566,1.903,685.0,1995.0833333333333
1995.0,2.0,268.825,1.484,534.0,1995.1666666666667
1995.0,3.0,268.893,1.873,549.0,1995.25
1995.0,4.0,269.202,1.392,46.0,1995.3333333333333
1995.0,5.0,269.3,1.705,353.0,1995.4166666666667
1995.0,6.0,268.347,1.887,636.0,1995.5
1995.0,7.0,268.485,1.576,643.0,1995.5833333333333
1995.0,8.0,268.472,1.928,633.0,1995.6666666666667
1995.0,9.0,268.665,1.512,628.0,1995.75
1995.0,10.0,268.514,1.388,558.0,1995.8333333333333
1995.0,11.0,268.369,1.619,665.0,1995.9166666666667
1995.0,12.0,268.247,1.522,647.0,1996.0
1996.0,1.0,267.855,1.511,682.0,1996.0833333333333
1996.0,2.0,267.749,1.611,595.0,1996.1666666666667
1996.0,3.0,267.713,1.697,672.0,1996.25
1996.0,4.0,267.153,1.358,693.0,1996.3333333333333
1996.0,5.0,267.512,1.616,577.0,1996.4166666666667
1996.0,6.0,267.337,1.801,615.0,1996.5
1996.0,7.0,266.853,2.728,498.0,1996.5833333333333
1996.0,8.0,267.08,1.656,711.0,1996.6666666666667
1996.0,9.0,267.376,1.45,599.0,1996.75
1996.0,10.0,267.201,2.009,548.0,1996.8333333333333
1996.0,11.0,267.327,1.484,528.0,1996.9166666666667
1996.0,12.0,267.585,1.622,111.0,1997.0
1997.0,1.0,266.899,1.712,522.0,1997.0833333333333
1997.0,2.0,266.928,1.585,556.0,1997.1666666666667
1997.0,3.0,266.298,1.636,280.0,1997.25
1997.0,4.0,265.523,1.066,3.0,1997.3333333333333
1997.0,5.0,266.48,1.734,359.0,1997.4166666666667
1997.0,6.0,266.178,2.494,651.0,1997.5
1997.0,7.0,266.209,1.499,503.0,1997.5833333333333
1997.0,9.0,265.988,1.114,211.0,1997.75
